#NGB ID	Accession ID	CNSA ID	Homogeneity	Seed color	Seedling size	Seedling cotyledon shape	Seedling cotyledon color	Seedling anthocyanin presence	Leaf shape cultivated material	Leaf shape wild material	Leaf thickness	Leaf blistering	Leaf margin undulation	Leaf venation	Leaf division	Leaf tip shape	Leaf color	Leaf color intensity	Leaf anthocyanin content	Leaf anthocyanin distribution	Leaf anthocyanin pattern	Leaf vein prickles presence	Leaf vein prickles extent	Incision of rosette leaves	Incision of cauline leaves	Side shoot formation tendency	Tipburn sensitivity	Plant diameter	Head shape	Head leafs overlap	Head height	Heart formation	Stem anthocyanin presence	Stem anthocyanin content	Stem prickles presence	Stem prickles extent	Flower color	Flower anthocyanin presence	Flowering time (day)	Sclerotinia sclerotiorum	Macros. euphorbiae field resistance	Macros. euphorbiae greenhouse test	Uroleucon sonchi	Pemphigus bursarius	Nasonovia ribisnigri nr:0 labtest	Tomato spotted wilt virus	Erysiphe cichoracearum	Bremia lactucae race 1	Bremia lactucae race 2	Bremia lactucae race 3	Bremia lactucae race 4	Bremia lactucae race 5	Bremia lactucae race 6	Bremia lactucae race 7	Bremia lactucae race 10	Bremia lactucae race 11	Bremia lactucae race 12	Bremia lactucae race 13	Bremia lactucae race 14	Bremia lactucae race 15	Bremia lactucae race 16	Bremia lactucae race 17	Bremia lactucae race 18	Bremia lactucae race 19	Bremia lactucae race 20	Bremia lactucae race 21	Bremia lactucae race 22	Bremia lactucae race 23	Bremia lactucae race 24	Bremia lactucae race 25	Bremia lactucae race 26	Bremia lactucae race 27	Bremia lactucae race 28	Bremia lactucae race 29	Bremia lactucae race 30	Bremia lactucae race 31	Bremia lactucae race s1	Bremia lactucae race sf1	Bremia lactucae race Cs9	Bremia lactucae race IL4	Bremia lactucae race tV	Bremia lactucae race CsK 12/81	Bremia lactucae race CsK 26/81	Bremia lactucae race CsK 27/81	Bremia lactucae race CsK 1/82	Bremia lactucae race CsK 2/82	Bremia lactucae race CsK 3/82	Bremia lactucae race CsK 4/82	Bremia lactucae race usA 92O47 	Bremia lactucae race usA 92D53-10	Bremia lactucae race usA 93D11	Bremia lactucae race usA 93D12	Bremia lactucae race usA 93D13	Bremia lactucae race usA 93D14	Bremia lactucae race Deu fs1	Bremia lactucae race Deu sR2	Bremia lactucae race Deu sAW1	Bremia lactucae race Deu DeG2	Bremia lactucae race field resistance	Bremia lactucae race 29/31/As-11	Bremia lactucae race 27/29/31
NGBLS00286	TKI-295	CNS0047646	--	--	--	--	--	--	--	oval	--	--	--	--	1	pointed	--	--	very low	--	--	--	--	--	--	--	--	--	--	--	--	--	--	low	--	very low	--	present	--	--	--	--	--	--	9	--	--	9	9	5	9	1	9	9	8	--	8	9	5	7	7	9	9	--	9	9	7	7	7	7	7	7	7	7	8	9	--	7	5	9	9	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00287	TKI-296	CNS0047947	--	--	--	--	--	--	--	oval	--	--	--	--	2/3	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	very low	--	present	--	--	--	--	--	--	9	--	--	5	1	--	1	1	2	3	1	--	1	1	1	1	3	1	5	--	2	1	1	3	1	3	1	5	1	2	1	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00288	TKI-297	CNS0047853	--	--	--	--	--	--	--	oval	--	--	--	--	1	pointed	--	--	very low	--	--	--	low	--	--	--	--	--	--	--	--	--	--	intermediate	--	low	--	present	--	--	--	--	--	--	9	--	--	8	7	--	9	9	6	9	7	--	9	--	8	7	7	8	7	--	9	8	7	8	8	--	5	5	5	5	--	7	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00289	TKI-298	CNS0047902	--	--	--	--	--	--	--	oval	--	--	--	--	1	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	low	--	present	--	--	--	--	--	--	9	--	--	1	1	--	9	9	1	9	6	--	9	8	1	7	9	--	9	--	9	9	9	9	9	--	--	5	--	7	7	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00290	TKI-299	CNS0047725	--	--	--	--	--	--	--	oval	--	--	--	--	1	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	intermediate	--	very low	--	present	--	--	--	--	--	--	9	--	--	8	5	--	9	9	6	9	5	--	9	9	3	9	7	--	9	--	8	--	9	9	9	--	5	--	--	6	7	6	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00291	TKI-300	CNS0047909	--	--	--	--	--	--	--	oval	--	--	--	--	2/3	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	intermediate	--	low	--	present	--	--	--	--	--	--	9	--	--	8	9	5	9	3	7	7	8	--	7	7	7	7	9	9	--	--	9	9	6	7	7	--	3	--	--	7	--	4	--	7	5	9	9	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00292	TKI-301	CNS0047780	--	--	--	--	--	--	--	oval	--	--	--	--	2/3	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	low	--	present	--	--	--	--	--	--	9	--	--	8	9	9	9	5	7	9	7	--	9	8	9	9	9	7	9	--	9	9	2	9	9	7	--	--	--	--	--	--	8	7	7	9	9	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00293	TKI-302	CNS0047594	--	--	--	--	--	--	--	oval	--	--	--	--	1	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	intermediate	--	very low	--	present	--	--	--	--	--	--	9	--	--	8	5	--	9	7	6	9	6	--	9	7	--	5	7	6	7	--	9	7	6	6	8	6	4	4	--	7	--	6	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9
NGBLS00294	TKI-303	CNS0047801	--	--	--	--	--	--	--	oval	--	--	--	--	0	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	low	--	present	--	--	--	--	--	--	9	--	--	--	1	--	1	1	1	3	1	--	9	2	1	--	9	1	9	--	8	7	1	8	--	--	--	2	9	7	1	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00295	TKI-304	CNS0047784	--	--	--	--	--	--	--	oval	--	--	--	--	0	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	low	--	present	--	--	--	--	--	--	9	--	--	1	1	--	2	1	1	3	1	--	9	2	1	1	7	1	9	--	8	6	1	8	--	--	--	1	9	7	1	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
